-----------------------------------------------------------------
                           COLOR TABLE
COLOR                | RED  | GREEN | BLUE |
-----------------------------------------------------------------
def.background       | 1.00 | 1.00  | 1.00 | (DEFAULT BACKGROUND)
def.foreground       | 0.00 | 0.00  | 0.00 | (DEFAULT FOREGROUND)
white                | 1.00 | 1.00  | 1.00 |
very.light.gray      | 0.90 | 0.90  | 0.90 |
light.gray           | 0.75 | 0.75  | 0.75 |
med.gray             | 0.50 | 0.50  | 0.50 |
dark.gray            | 0.25 | 0.25  | 0.25 |
black                | 0.00 | 0.00  | 0.00 |
very.light.red       | 1.00 | 0.85  | 0.85 |
pastel.red           | 1.00 | 0.68  | 0.80 |
red.coral            | 1.00 | 0.56  | 0.74 |
dark.salmon          | 1.00 | 0.58  | 0.58 |
light.red            | 1.00 | 0.50  | 0.50 |
red                  | 1.00 | 0.00  | 0.00 |
dark.red             | 0.50 | 0.00  | 0.00 |
light.orange         | 1.00 | 0.75  | 0.50 |
orange               | 1.00 | 0.50  | 0.00 |
tan                  | 0.80 | 0.40  | 0.00 |
brown                | 0.50 | 0.25  | 0.00 |
parchment            | 1.00 | 1.00  | 0.82 |
light.yellow         | 1.00 | 1.00  | 0.50 |
lemon                | 1.00 | 1.00  | 0.43 |
yellow               | 1.00 | 1.00  | 0.00 |
gold                 | 0.98 | 0.82  | 0.16 |
mustard              | 1.00 | 0.93  | 0.14 |
dark.yellow          | 0.50 | 0.50  | 0.00 |
light.green          | 0.50 | 1.00  | 0.50 |
avocado              | 0.91 | 0.93  | 0.50 |
leaf.green           | 0.55 | 1.00  | 0.49 |
aqua                 | 0.38 | 0.94  | 0.84 |
green                | 0.00 | 1.00  | 0.00 |
forest.green         | 0.00 | 0.75  | 0.00 |
dark.green           | 0.00 | 0.50  | 0.00 |
eireann.green        | 0.00 | 0.619 | 0.376|
very.light.blue      | 0.88 | 1.00  | 1.00 |
lavender             | 0.75 | 0.75  | 1.00 |
light.blue           | 0.50 | 0.50  | 1.00 |
blue                 | 0.00 | 0.00  | 1.00 |
light.cerulean       | 0.39 | 0.87  | 0.98 |
dark.blue            | 0.00 | 0.00  | 0.50 |
very.dark.blue       | 0.00 | 0.00  | 0.30 |
dusty.violet         | 0.97 | 0.66  | 1.00 |
light.purple         | 0.87 | 0.69  | 1.00 |
light.violet         | 0.75 | 0.50  | 0.75 |
violet               | 0.50 | 0.00  | 0.50 |
dark.violet          | 0.25 | 0.00  | 0.25 |
cyan                 | 0.00 | 1.00  | 1.00 |
peach                | 1.00 | 0.86  | 0.73 |
very.light.magenta   | 1.00 | 0.85  | 1.00 | 
light.magenta        | 1.00 | 0.50  | 1.00 | 
magenta              | 1.00 | 0.00  | 1.00 | 
med.red              | 1.00 | 0.20  | 0.20 | 
surf.green           | 0.15 | 1.00  | 0.75 |
very.light.green     | 0.85 | 1.00  | 0.85 |
powder.blue          | 0.69 | 0.88  | 0.90 |
sn70                 | 0.412| 0.090 | 0.592|
sn65                 | 0.294| 0.208 | 0.710|
sn60                 | 0.184| 0.318 | 0.820|
sn55                 | 0.071| 0.431 | 0.933|
sn50                 | 0.051| 0.553 | 1.0  |
sn45                 | 0.161| 0.663 | 1.0  |
sn40                 | 0.275| 0.776 | 1.0  |
sn35                 | 0.396| 0.916 | 1.0  |
sn30                 | 0.5  | 1.0   | 0.980|
sn25                 | 0.5  | 1.0   | 0.761|
sn20                 | 0.5  | 1.0   | 0.522|
sn15                 | 0.682| 1.0   | 0.5  |
sn10                 | 0.902| 1.0   | 0.5  |
sn05                 | 1.0  | 0.882 | 0.384|
sn00                 | 1.0  | 0.639 | 0.141|
sp05                 | 0.976| 0.478 | 0.0  |
sp10                 | 0.902| 0.404 | 0.0  |
sp15                 | 0.820| 0.322 | 0.0  |
sp20                 | 0.745| 0.247 | 0.0  |
sp25                 | 0.671| 0.173 | 0.0  |
sp30                 | 0.588| 0.090 | 0.0  |
sp35                 | 0.514| 0.016 | 0.0  |
g75dbz               | 1.00 | 1.00  | 1.00 |
g70dbz               | 0.60 | 0.33  | 0.79 |
g65dbz               | 1.00 | 0.00  | 1.00 |
g60dbz               | 0.75 | 0.00  | 0.00 |
g55dbz               | 0.84 | 0.00  | 0.00 |
g50dbz               | 1.00 | 0.00  | 0.00 |
g45dbz               | 1.00 | 0.56  | 0.00 |
g40dbz               | 0.91 | 0.75  | 0.00 |
g35dbz               | 1.00 | 1.00  | 0.00 |
g30dbz               | 0.00 | 0.56  | 0.00 |
g25dbz               | 0.00 | 0.78  | 0.00 |
g20dbz               | 0.00 | 1.00  | 0.00 |
g15dbz               | 0.00 | 0.00  | 0.96 |
g10dbz               | 0.00 | 0.63  | 0.96 |
g05dbz               | 0.00 | 0.93  | 0.93 |
g00dbz               | 0.39 | 0.39  | 0.39 |
gm05dbz              | 0.60 | 0.60  | 0.40 |
gm10dbz              | 0.80 | 0.80  | 0.60 |
gm15dbz              | 0.40 | 0.20  | 0.40 |
gm20dbz              | 0.60 | 0.40  | 0.60 |
gm25dbz              | 0.80 | 0.60  | 0.80 |
gm30dbz              | 0.80 | 1.00  | 1.00 |
wheat0               | 1.00 | 0.95  | 0.77 |
wheat1               | 1.00 | 0.91  | 0.73 |
wheat2               | 0.93 | 0.85  | 0.68 |
wheat3               | 0.80 | 0.73  | 0.59 |
wheat4               | 0.55 | 0.49  | 0.40 |
off.white            | 0.88 | 0.88  | 0.88 |
-----------------------------------------------------------------
